name,ur5_shoulder_pan_joint_rad,ur5_shoulder_lift_joint_rad,ur5_elbow_joint_rad,ur5_wrist_1_joint_rad,ur5_wrist_2_joint_rad,ur5_wrist_3_joint_rad,ur5_x_m,ur5_y_m,ur5_z_m,ur5_roll_rad,ur5_pitch_rad,ur5_yaw_rad,ur7e_shoulder_pan_joint_rad,ur7e_shoulder_lift_joint_rad,ur7e_elbow_joint_rad,ur7e_wrist_1_joint_rad,ur7e_wrist_2_joint_rad,ur7e_wrist_3_joint_rad,ur7e_x_m,ur7e_y_m,ur7e_z_m,ur7e_roll_rad,ur7e_pitch_rad,ur7e_yaw_rad
waypoint,-0.642142,-0.500142,-1.213911,0.000000,0.000000,0.000000,0.357035,-0.443421,1.609112,-1.570796,1.427540,-2.213734,-4.948637,3.307469,0.782257,-4.508814,-0.228708,1.455186,0.106311,-0.371329,1.365409,1.753598,-1.038501,-0.185490
waypoint,-0.857026,-0.500142,-1.213911,0.000000,0.000000,0.000000,0.264621,-0.413400,1.609112,-1.570796,1.427540,-2.428619,-4.948637,3.641734,0.782257,-4.508814,-0.228708,1.455186,-0.019479,-0.340940,1.555456,1.668039,-1.371645,-0.104463
waypoint,-0.857026,-0.500142,-0.821212,0.000000,0.000000,0.000000,0.150497,-0.512084,1.564112,1.570796,1.321354,0.712974,-4.948637,3.641734,0.782257,-5.354531,-0.228708,1.455186,-0.097744,-0.322032,1.579041,1.782791,-0.527431,-0.206774
waypoint,-0.857026,-0.500142,-0.464327,0.000000,0.000000,0.000000,0.065211,-0.585832,1.475761,1.570796,0.964469,0.712974,-4.948637,3.641734,0.782257,-5.354531,-1.357168,1.455186,-0.036513,-0.258751,1.519092,2.847001,-0.611140,-0.098960
waypoint,-0.857026,-0.928655,-0.464327,-2.070938,-0.928655,0.000000,0.284009,-0.352995,1.840624,-1.309461,-0.190877,2.900752,-4.283876,4.140619,0.142628,-3.284849,-0.571770,0.571770,0.100604,0.012451,1.782241,0.159081,-1.092029,2.155052
