name,ur5_shoulder_pan_joint_rad,ur5_shoulder_lift_joint_rad,ur5_elbow_joint_rad,ur5_wrist_1_joint_rad,ur5_wrist_2_joint_rad,ur5_wrist_3_joint_rad,ur5_x_m,ur5_y_m,ur5_z_m,ur5_roll_rad,ur5_pitch_rad,ur5_yaw_rad,ur7e_shoulder_pan_joint_rad,ur7e_shoulder_lift_joint_rad,ur7e_elbow_joint_rad,ur7e_wrist_1_joint_rad,ur7e_wrist_2_joint_rad,ur7e_wrist_3_joint_rad,ur7e_x_m,ur7e_y_m,ur7e_z_m,ur7e_roll_rad,ur7e_pitch_rad,ur7e_yaw_rad
waypoint,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.540799,0.567402,0.908909,1.570796,-0.000000,-1.571593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117751,0.567385,0.977200,1.570796,-0.000000,-1.571593
waypoint,-0.237504,-1.053062,1.579593,-2.140053,-1.595929,0.000000,-0.301203,0.404515,1.097583,-3.098854,-0.025110,-0.239374,-0.237504,-0.849487,1.409318,-1.392354,-1.188779,0.000000,0.331807,0.397108,1.052319,2.365980,0.279349,-0.502372
waypoint,-0.237504,-1.256637,1.579593,-2.140053,-1.595929,0.000000,-0.308847,0.373050,1.226556,-2.895217,-0.024374,-0.244430,-0.237504,-1.324495,1.409318,-1.392354,-1.188779,0.000000,0.318139,0.340844,1.340665,2.858912,0.368213,-0.342473
waypoint,-0.849487,-1.256637,0.831894,-2.140053,-1.595929,0.000000,0.037226,0.232472,1.603869,-2.147448,-0.013705,-0.871351,0.508938,-1.256637,1.986743,-1.392354,-1.053062,0.000000,-0.012228,0.025134,1.087680,2.166279,0.309222,0.085987
waypoint,-1.256637,-1.528071,2.054602,-2.140053,-1.595929,0.000000,0.050169,-0.007766,1.152895,-3.098854,-0.025110,-1.258507,-0.917345,-1.256637,0.831894,-1.392354,-1.053062,0.000000,0.720941,0.263377,1.583093,-2.859960,0.500628,-0.780155
waypoint,0.033929,-1.392354,-0.016965,-2.140053,-1.595929,0.000000,-0.462870,-0.077151,1.928474,-1.163133,0.009966,0.010060,0.033929,-1.460212,0.050894,-1.528071,-1.188779,0.000000,0.172353,-0.035090,1.965289,-1.760644,0.075670,0.407943
